technique,Action,Phase,Phase2,Phase3,platforms,groups.1,groups.2,groups.3,groups.4,groups.5,groups.6,groups.7,groups.8,groups.9,groups.10,groups.11,groups.12,groups.13,groups.14,groups.15,groups.16,groups.17,groups.18,groups.19,groups.20,groups.21,groups.22,groups.23,groups.24,groups.25,groups.26,groups.27,groups.28,groups.29,groups.30,groups.31,groups.32,groups.33,groups.34,groups.35,groups.36,groups.37,groups.38,groups.39,groups.40,groups.41,groups.42,groups.43,groups.44,groups.45,groups.46,groups.47,groups.48,groups.49,groups.50,groups.51,groups.52,groups.53,groups.54,groups.55,groups.56,groups.57,groups.58,groups.59,groups.60,groups.61,groups.62,groups.63,groups.64,groups.65,groups.66,groups.67,groups.68,groups.69,groups.70,groups.71,groups.72,groups.73,groups.74,groups.75,groups.76,groups.77,groups.78,groups.79,groups.80,groups.81,groups.82,groups.83,groups.84,groups.85,groups.86,data_sources,mitigations,Stealth,Noise2
T1003,OS Credential Dumping,credential-access,,,Linux|Windows|macOS,G0001,G0007,G0033,G0039,G0050,G0054,G0065,G0087,G0129,G0131,G1003,G1043,G1053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1015|M1017|M1025|M1026|M1027|M1028|M1040|M1041|M1043,5,5
T1129,Shared Modules,execution,,,Linux|Windows|macOS,G0129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1038,5,5
T1602,Data from Configuration Repository,collection,,,Network Devices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1030|M1031|M1037|M1041|M1051|M1054,5,5
T1561.002,Disk Structure Wipe,impact,,,Linux|Network Devices|Windows|macOS,G0032,G0034,G0067,G0082,G1003,G1055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1053,5,5
T1498.001,Direct Network Flood,impact,,,IaaS|Linux|Windows|macOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1037,10,0
T1492,Stored Data Manipulation,impact,,,Linux|Windows|macOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5
T1574.007,Path Interception by PATH Environment Variable,execution,stealth,,Linux|Windows|macOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1022|M1038|M1047,3,7
T1213.002,Sharepoint,collection,,,Office Suite|Windows,G0004,G0007,G0114,G0125,G1004,G1024,G1055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1017|M1018|M1047,5,5
T1006,Direct Volume Access,stealth,,,Network Devices|Windows,G1015,G1017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1018|M1040,3,7
T1044,File System Permissions Weakness,persistence,privilege-escalation,,Linux|Windows|macOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5
T1588.007,Artificial Intelligence,resource-development,,,PRE,G0007,G1052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1056,5,5
T1666,Modify Cloud Resource Hierarchy,defense-impairment,,,IaaS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1018|M1047|M1054,5,5
T1564.008,Email Hiding Rules,stealth,,,Linux|Office Suite|Windows|macOS,G0085,G1015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1047,3,7
T1491.002,External Defacement,impact,,,IaaS|Linux|Windows|macOS,G0034,G1003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1053,5,5
T1027.013,Encrypted/Encoded File,stealth,,,Linux|Windows|macOS,G0007,G0012,G0024,G0026,G0027,G0032,G0043,G0045,G0049,G0050,G0059,G0064,G0065,G0066,G0070,G0073,G0081,G0087,G0092,G0094,G0099,G0100,G0103,G0107,G0108,G0117,G0121,G0126,G0134,G0139,G1002,G1009,G1013,G1018,G1026,G1031,G1036,G1046,G1052,G1054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1040|M1049,3,7
T1171,LLMNR/NBT-NS Poisoning and Relay,credential-access,,,Windows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5
T1590.005,IP Addresses,reconnaissance,,,PRE,G0059,G0125,G0138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1056,5,5
T1499.001,OS Exhaustion Flood,impact,,,Linux|Windows|macOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1037,10,0
T1014,Rootkit,stealth,,,Linux|Windows|macOS,G0007,G0044,G0096,G0106,G0139,G1048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9
T1546.013,PowerShell Profile,persistence,privilege-escalation,,Windows,G0010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1022|M1045|M1054,5,5
T1059.007,JavaScript,execution,,,Linux|Windows|macOS,G0010,G0021,G0037,G0046,G0050,G0069,G0077,G0080,G0091,G0092,G0094,G0099,G0119,G0120,G0121,G0126,G0129,G0140,G1006,G1019,G1031,G1033,G1035,G1037,G1038,G1052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1021|M1038|M1040|M1042,5,5
T1685.003,Modify or Spoof Tool UI,defense-impairment,,,Linux|Windows|macOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1038,5,5
T1590.002,DNS,reconnaissance,,,PRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1054,5,5
