technique,Action,Phase,Phase2,Phase3,platforms,groups.1,groups.2,groups.3,groups.4,groups.5,groups.6,groups.7,groups.8,groups.9,groups.10,groups.11,groups.12,groups.13,groups.14,groups.15,groups.16,groups.17,groups.18,groups.19,groups.20,groups.21,groups.22,groups.23,groups.24,groups.25,groups.26,groups.27,groups.28,groups.29,groups.30,groups.31,groups.32,groups.33,groups.34,groups.35,groups.36,groups.37,groups.38,groups.39,groups.40,groups.41,groups.42,groups.43,groups.44,groups.45,groups.46,groups.47,groups.48,groups.49,groups.50,groups.51,groups.52,groups.53,groups.54,groups.55,groups.56,groups.57,groups.58,groups.59,groups.60,groups.61,groups.62,groups.63,groups.64,groups.65,groups.66,groups.67,groups.68,groups.69,groups.70,groups.71,groups.72,groups.73,groups.74,groups.75,groups.76,groups.77,groups.78,groups.79,groups.80,groups.81,groups.82,groups.83,groups.84,groups.85,groups.86,data_sources,mitigations,Stealth,Noise2
T1674,Input Injection,execution,,,Linux|Windows|macOS,G0046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1034|M1038,5,5
T1092,Communication Through Removable Media,command-and-control,,,Linux|Windows|macOS,G0007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1028|M1042,5,5
T1070.001,Clear Windows Event Logs,stealth,,,Windows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7
T1585.002,Email Accounts,resource-development,,,PRE,G0006,G0032,G0034,G0059,G0065,G0094,G0102,G0119,G0122,G0129,G1001,G1011,G1012,G1033,G1036,G1044,G1051,G1052,G1055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1056,5,5
T1557.001,Name Resolution Poisoning and SMB Relay,collection,credential-access,,Windows,G0032,G0102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1030|M1031|M1037|M1042,5,5
T1222,File and Directory Permissions Modification,defense-impairment,,,ESXi|Linux|Windows|macOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1022|M1026,5,5
T1003.001,LSASS Memory,credential-access,,,Windows,G0003,G0004,G0006,G0007,G0022,G0027,G0034,G0037,G0049,G0050,G0059,G0060,G0061,G0064,G0065,G0068,G0069,G0077,G0087,G0091,G0093,G0094,G0096,G0102,G0107,G0108,G0117,G0119,G0125,G0129,G0143,G1003,G1006,G1016,G1017,G1023,G1030,G1036,G1039,G1040,G1048,G1051,G1054,G1055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1017|M1025|M1026|M1027|M1028|M1040|M1043,5,5
T1053.001,At (Linux),execution,persistence,privilege-escalation,Linux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5
T1176.002,IDE Extensions,persistence,,,Linux|Windows|macOS,G0129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1017|M1033|M1038|M1047|M1051,5,5
T1179,Hooking,credential-access,persistence,privilege-escalation,Windows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5
T1595,Active Scanning,reconnaissance,,,PRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1056,5,5
T1027.016,Junk Code Insertion,stealth,,,Linux|Windows|macOS,G0046,G0047,G0050,G0094,G0099,G0129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1049,3,7
T1547.011,Plist Modification,persistence,privilege-escalation,,macOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5
T1548,Abuse Elevation Control Mechanism,privilege-escalation,,,IaaS|Identity Provider|Linux|Office Suite|Windows|macOS,G1048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1018|M1022|M1026|M1028|M1038|M1047|M1051|M1052,5,5
T1134.002,Create Process with Token,privilege-escalation,stealth,,Windows,G0010,G0032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1018|M1026,3,7
T1548.001,Setuid and Setgid,privilege-escalation,,,Linux|macOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1028,5,5
T1547.004,Winlogon Helper DLL,persistence,privilege-escalation,,Windows,G0010,G0081,G0102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1018|M1038,5,5
T1019,System Firmware,persistence,,,Windows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5
T1021.003,Distributed Component Object Model,lateral-movement,,,Windows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1026|M1030|M1042|M1048,5,5
T1042,Change Default File Association,persistence,,,Windows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5
T1117,Regsvr32,execution,stealth,,Windows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7
T1110.003,Password Spraying,credential-access,,,Containers|ESXi|IaaS|Identity Provider|Linux|Network Devices|Office Suite|SaaS|Windows|macOS,G0007,G0016,G0032,G0064,G0077,G0114,G0122,G0125,G1001,G1003,G1030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1027|M1032|M1036,5,5
T1090.002,External Proxy,command-and-control,,,ESXi|Linux|Network Devices|Windows|macOS,G0007,G0016,G0022,G0032,G0045,G0053,G0069,G0087,G0091,G0093,G0131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1031,5,5
T1056.003,Web Portal Capture,collection,credential-access,,Linux|Windows|macOS,G0094,G1035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1026,5,5
T1589.002,Email Addresses,reconnaissance,,,PRE,G0032,G0034,G0050,G0059,G0094,G0122,G0125,G0127,G1001,G1004,G1011,G1017,G1031,G1036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1056,5,5
T1164,Re-opened Applications,persistence,,,macOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5
T1054,Indicator Blocking,stealth,,,Windows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7
T1598.004,Spearphishing Voice,reconnaissance,,,PRE,G1004,G1015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1017,7,3
T1683.001,Written Content,resource-development,,,PRE,G0099,G1052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1056,5,5
T1108,Redundant Access,persistence,stealth,,IaaS|Identity Provider|Linux|Office Suite|SaaS|Windows|macOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7
T1193,Spearphishing Attachment,initial-access,,,Linux|Windows|macOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3
T1003.005,Cached Domain Credentials,credential-access,,,Linux|Windows,G0049,G0064,G0069,G0077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1015|M1017|M1026|M1027|M1028,5,5
T1098.004,SSH Authorized Keys,persistence,privilege-escalation,,ESXi|IaaS|Linux|Network Devices|macOS,G0139,G1006,G1045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1018|M1022|M1042,5,5
T1673,Virtual Machine Discovery,discovery,,,ESXi|Linux|Windows|macOS,G1048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5
T1215,Kernel Modules and Extensions,persistence,,,Linux|macOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5
T1101,Security Support Provider,persistence,,,Windows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5
T1590.006,Network Security Appliances,reconnaissance,,,PRE,G1017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1056,5,5
T1546.012,Image File Execution Options Injection,persistence,privilege-escalation,,Windows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5
T1218.008,Odbcconf,stealth,,,Windows,G0080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1038|M1042,3,7
T1593.002,Search Engines,reconnaissance,,,PRE,G0094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1056,5,5
T1177,LSASS Driver,execution,persistence,,Windows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5
T1591.002,Business Relationships,reconnaissance,,,PRE,G0034,G0035,G1004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1056,5,5
T1548.005,Temporary Elevated Cloud Access,privilege-escalation,,,IaaS|Identity Provider|Office Suite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1018,5,5
T1125,Video Capture,collection,,,Linux|Windows|macOS,G0046,G0091,G1003,G1055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5
T1144,Gatekeeper Bypass,stealth,,,macOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7
T1045,Software Packing,stealth,,,Windows|macOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7
T1055.013,Process Doppelgänging,privilege-escalation,stealth,,Windows,G0077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1040,3,7
T1016,System Network Configuration Discovery,discovery,,,ESXi|Linux|Network Devices|Windows|macOS,G0004,G0006,G0010,G0012,G0018,G0019,G0022,G0027,G0030,G0032,G0035,G0038,G0045,G0049,G0050,G0059,G0069,G0073,G0081,G0093,G0094,G0096,G0102,G0114,G0121,G0125,G0126,G0128,G0129,G0139,G1001,G1006,G1008,G1009,G1015,G1016,G1017,G1036,G1040,G1043,G1044,G1051,G1054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5
T1578.003,Delete Cloud Instance,defense-impairment,,,IaaS,G1004,G1053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1018|M1047,5,5
T1593.003,Code Repositories,reconnaissance,,,PRE,G0125,G1004,G1052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1013|M1047,5,5
T1574.005,Executable Installer File Permissions Weakness,execution,stealth,,Windows,G0129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1018|M1047|M1052,3,7
T1546.008,Accessibility Features,persistence,privilege-escalation,,Windows,G0001,G0009,G0016,G0022,G0096,G0117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1028|M1035|M1038,5,5
T1496.002,Bandwidth Hijacking,impact,,,Containers|IaaS|Linux|Windows|macOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5
T1504,PowerShell Profile,persistence,privilege-escalation,,Windows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5
T1198,SIP and Trust Provider Hijacking,persistence,stealth,,Windows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7
T1087,Account Discovery,discovery,,,ESXi|IaaS|Identity Provider|Linux|Office Suite|SaaS|Windows|macOS,G0143,G1015,G1016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1018|M1028,5,5
T1090,Proxy,command-and-control,,,ESXi|Linux|Network Devices|Windows|macOS,G0010,G0034,G0047,G0052,G0059,G0069,G0096,G0108,G0117,G0124,G1004,G1005,G1006,G1015,G1017,G1019,G1021,G1052,G1054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1020|M1031|M1037,5,5
T1059,Command and Scripting Interpreter,execution,,,Containers|ESXi|IaaS|Identity Provider|Linux|Network Devices|Office Suite|SaaS|Windows|macOS,G0004,G0035,G0037,G0038,G0046,G0049,G0050,G0053,G0067,G0073,G0087,G0107,G0117,G0124,G0129,G1031,G1035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1021|M1026|M1033|M1038|M1040|M1042|M1045|M1047|M1049,5,5
T1204.005,Malicious Library,execution,,,Linux|Windows|macOS,G1052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1017|M1031|M1033,5,5
T1562.006,Indicator Blocking,stealth,,,ESXi|Linux|Windows|macOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7
T1685.005,Clear Windows Event Logs,defense-impairment,,,Windows,G0007,G0035,G0050,G0053,G0061,G0082,G0096,G0114,G0119,G0125,G0143,G1017,G1040,G1054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1022|M1029|M1041,5,5
T1136.002,Domain Account,persistence,,,Linux|Windows|macOS,G0093,G0102,G0125,G1043,G1051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1026|M1028|M1030|M1032,5,5
T1564.014,Extended Attributes,stealth,,,Linux|macOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1040,3,7
T1589.003,Employee Names,reconnaissance,,,PRE,G0034,G0094,G0122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1056,5,5
T1677,Poisoned Pipeline Execution,execution,,,SaaS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1018|M1054,5,5
T1482,Domain Trust Discovery,discovery,,,Windows,G0030,G0059,G0061,G0114,G1006,G1024,G1043,G1046,G1053,G1054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1030|M1047,5,5
T1558.001,Golden Ticket,credential-access,,,Windows,G0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1015|M1026,5,5
T1175,Component Object Model and Distributed COM,execution,lateral-movement,,Windows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5
T1020,Automated Exfiltration,exfiltration,,,Linux|Network Devices|Windows|macOS,G0004,G0047,G0081,G0094,G0121,G1035,G1039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5
T1592.004,Client Configurations,reconnaissance,,,PRE,G0125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1056,5,5
T1562.007,Disable or Modify Cloud Firewall,stealth,,,IaaS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7
T1219.001,IDE Tunneling,command-and-control,,,Linux|Windows|macOS,G0129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1038,5,5
T1036.002,Right-to-Left Override,stealth,,,Linux|Windows|macOS,G0004,G0029,G0060,G0098,G0137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7
T1588.001,Malware,resource-development,,,PRE,G0006,G0010,G0069,G0092,G0099,G0135,G0138,G0140,G0143,G1003,G1004,G1006,G1013,G1014,G1015,G1018,G1048,G1055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1056,5,5
T1027.017,SVG Smuggling,stealth,,,Linux|Windows|macOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1048,3,7
T1542.002,Component Firmware,persistence,stealth,,Linux|Windows|macOS,G0020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1051,3,7
T1070,Indicator Removal,stealth,,,Containers|ESXi|Linux|Network Devices|Office Suite|Windows|macOS,G0032,G0129,G1023,G1044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1022|M1029|M1041,3,7
T1048.001,Exfiltration Over Symmetric Encrypted Non-C2 Protocol,exfiltration,,,ESXi|Linux|Windows|macOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1030|M1031|M1037,5,5
T1137.001,Office Template Macros,persistence,,,Office Suite|Windows,G0069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1040|M1042,5,5
T1583.003,Virtual Private Server,resource-development,,,PRE,G0001,G0007,G0035,G0047,G0099,G0125,G1003,G1004,G1012,G1035,G1036,G1041,G1043,G1044,G1052,G1055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1056,5,5
T1213.001,Confluence,collection,,,SaaS,G1004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1017|M1018|M1047,5,5
T1550.003,Pass the Ticket,lateral-movement,,,Windows,G0016,G0050,G0060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1015|M1018|M1026|M1027,5,5
T1609,Container Administration Command,execution,,,Containers,G0139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1018|M1026|M1035|M1038|M1042,5,5
T1083,File and Directory Discovery,discovery,,,ESXi|Linux|Network Devices|Windows|macOS,G0004,G0007,G0010,G0012,G0018,G0022,G0026,G0030,G0032,G0034,G0035,G0040,G0044,G0045,G0047,G0050,G0054,G0059,G0060,G0069,G0070,G0077,G0081,G0082,G0087,G0094,G0096,G0100,G0114,G0117,G0121,G0124,G0125,G0129,G0139,G0142,G1007,G1014,G1015,G1016,G1017,G1022,G1023,G1035,G1039,G1040,G1047,G1048,G1051,G1052,G1054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5
T1568,Dynamic Resolution,command-and-control,,,ESXi|Linux|Windows|macOS,G0016,G0047,G0094,G0099,G0134,G1002,G1018,G1042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1021|M1031,5,5
T1036.004,Masquerade Task or Service,stealth,,,Linux|Windows|macOS,G0008,G0019,G0032,G0037,G0046,G0050,G0056,G0059,G0094,G0096,G0099,G0102,G0117,G0126,G0128,G0135,G0143,G1002,G1016,G1035,G1048,G1053,G1055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2
T1055.004,Asynchronous Procedure Call,privilege-escalation,stealth,,Windows,G0061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1040,3,7
T1020.001,Traffic Duplication,exfiltration,,,IaaS|Network Devices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1018|M1041|M1057,5,5
T1138,Application Shimming,persistence,privilege-escalation,,Windows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5
T1647,Plist File Modification,defense-impairment,,,macOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1013,5,5
T1127.003,JamPlus,execution,stealth,,Windows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1038|M1042,3,7
T1546.009,AppCert DLLs,persistence,privilege-escalation,,Windows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1038,5,5
T1191,CMSTP,execution,stealth,,Windows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7
T1188,Multi-hop Proxy,command-and-control,,,Linux|Windows|macOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5
